season,league,team_name,team_abbreviation,playoffs,games_played,minutes_played,field_goals,field_goal_attempts,field_goal_percentage,three_pointers,three_point_attempts,three_point_percentage,two_pointers,two_point_attempts,two_point_percentage,free_throws,free_throw_attempts,free_throw_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
2021,NBA,Brooklyn Nets,BRK,True,72.0,17405.0,3106.0,6289.0,0.494,1020.0,2600.0,0.392,2086.0,3689.0,0.565,1305.0,1623.0,0.804,640.0,2559.0,3199.0,1929.0,484.0,379.0,975.0,1371.0,8537.0
2021,NBA,Chicago Bulls,CHI,False,72.0,17380.0,3035.0,6380.0,0.476,904.0,2446.0,0.37,2131.0,3934.0,0.542,995.0,1258.0,0.791,693.0,2544.0,3237.0,1927.0,482.0,304.0,1089.0,1362.0,7969.0
2021,NBA,Charlotte Hornets,CHO,False,72.0,17355.0,2875.0,6324.0,0.455,985.0,2666.0,0.369,1890.0,3658.0,0.517,1146.0,1505.0,0.761,762.0,2389.0,3151.0,1933.0,565.0,344.0,1069.0,1298.0,7881.0
2021,NBA,Cleveland Cavaliers,CLE,False,72.0,17430.0,2778.0,6175.0,0.45,720.0,2141.0,0.336,2058.0,4034.0,0.51,1200.0,1614.0,0.743,751.0,2327.0,3078.0,1716.0,559.0,325.0,1114.0,1308.0,7476.0
2021,NBA,Dallas Mavericks,DAL,True,72.0,17305.0,2958.0,6287.0,0.47,994.0,2744.0,0.362,1964.0,3543.0,0.554,1186.0,1524.0,0.778,657.0,2463.0,3120.0,1647.0,450.0,311.0,869.0,1396.0,8096.0
2021,NBA,Denver Nuggets,DEN,True,72.0,17480.0,3114.0,6422.0,0.485,927.0,2462.0,0.377,2187.0,3960.0,0.552,1129.0,1406.0,0.803,758.0,2442.0,3200.0,1933.0,582.0,323.0,972.0,1374.0,8284.0
2021,NBA,Detroit Pistons,DET,False,72.0,17430.0,2783.0,6162.0,0.452,832.0,2370.0,0.351,1951.0,3792.0,0.515,1278.0,1683.0,0.759,694.0,2381.0,3075.0,1743.0,531.0,371.0,1075.0,1477.0,7676.0
2021,NBA,Golden State Warriors,GSW,False,72.0,17305.0,2973.0,6347.0,0.468,1048.0,2789.0,0.376,1925.0,3558.0,0.541,1193.0,1520.0,0.785,574.0,2524.0,3098.0,1991.0,587.0,342.0,1080.0,1526.0,8187.0
2021,NBA,Houston Rockets,HOU,False,72.0,17305.0,2826.0,6372.0,0.444,992.0,2923.0,0.339,1834.0,3449.0,0.532,1189.0,1606.0,0.74,671.0,2396.0,3067.0,1699.0,546.0,361.0,1060.0,1407.0,7833.0
2021,NBA,Indiana Pacers,IND,False,72.0,17455.0,3115.0,6567.0,0.474,889.0,2445.0,0.364,2226.0,4122.0,0.54,1183.0,1493.0,0.792,648.0,2424.0,3072.0,1973.0,611.0,460.0,975.0,1453.0,8302.0
